tokens,names,types,states,start_sending_at,recipient_count,delivered_count,view_count,click_count,open_based_orders_count,open_based_total_order_value,click_based_orders_count,click_based_total_order_value
bmc_t6wxapyfb8,Launch: Cyber Monday: FREE Coconut/Vanilla Dry Shampoo | 12.2.24,ONE_TIME,COMPLETED,1733176702000.0,25645.0,19078.0,4128.0,43.0,0.0,0.0,0.0,0.0
bmc_trc77jak3k,"Last Day: 15% Off, Free Ship + Adv. Repair GWP | 11.30.24",ONE_TIME,COMPLETED,1732986917000.0,25672.0,19120.0,5021.0,54.0,1.0,212.5,0.0,0.0
bmc_5y2z2sbyta,"REM: 15% Off, Free Ship + Adv. Repair GWP | 11.27.24",ONE_TIME,COMPLETED,1732741682000.0,741.0,665.0,243.0,5.0,4.0,949.5,1.0,400.0
bmc_6jenqdj57p,"LAUNCH: 15% Off, Free Ship + Adv. Repair GWP | 11.23.24",ONE_TIME,COMPLETED,1732410036000.0,25753.0,19130.0,5499.0,71.0,8.0,3137.5,1.0,102.0
bmc_wgwkjwhmb9,Last Day Free Ship + Hamish Sand. Set | 11.22.24,ONE_TIME,COMPLETED,1732293839000.0,2479.0,2183.0,903.0,6.0,11.0,3549.5,0.0,0.0
bmc_rj5xhhnnv8,REM: Free Ship + Hamish Sand. Set | 11.15.24,ONE_TIME,COMPLETED,1731705346000.0,807.0,736.0,298.0,8.0,10.0,3370.0,0.0,0.0
bmc_ncxadxjmqm,RSND LTO Launch Hidden Waterfall Body Butter | 11.14.24,ONE_TIME,COMPLETED,1731618583000.0,1365.0,1164.0,129.0,1.0,1.0,189.5,0.0,0.0
bmc_36f9q6y39h,LTO Launch Hidden Waterfall Body Butter | 11.13.24,ONE_TIME,COMPLETED,1731475031000.0,2475.0,2270.0,1013.0,13.0,11.0,3337.0,0.0,0.0
bmc_5ux4gv4j7k,LAUNCH: Free Ship + Hamish Sand. Set | 11.11.24,ONE_TIME,COMPLETED,1731428148000.0,25895.0,19418.0,5300.0,49.0,13.0,3823.0,0.0,0.0
bmc_cuaxn5baft,Peach Hibiscus Scrub LTO Launch | 11.6.24,ONE_TIME,COMPLETED,1730924147000.0,23852.0,19187.0,5437.0,56.0,16.0,4812.5,1.0,136.0
bmc_47xf2nt4ek,Stocking Stuffers | Free Ship/GWP | 11.5.24,ONE_TIME,COMPLETED,1730841439000.0,2353.0,2146.0,1004.0,14.0,16.0,4362.0,0.0,0.0
bmc_r8ysf59jnm,Free Ship + Wooden Tray GWP | 11.1.24,ONE_TIME,COMPLETED,1730492321000.0,23216.0,19056.0,5876.0,58.0,12.0,4308.5,0.0,0.0
bmc_9c2gn7aghw,LAST DAY: 10% Off Sale | 10.31.24,ONE_TIME,COMPLETED,1730405844000.0,23637.0,16925.0,4608.0,36.0,0.0,0.0,0.0,0.0
bmc_34b7eqmnnc,Rice Water Treatment Restock | 10.31.24,ONE_TIME,COMPLETED,1730337557000.0,2308.0,2135.0,970.0,9.0,13.0,3751.0,2.0,326.0
bmc_w9ntt4949b,LAUNCH: 10% Off Sale | 10.28.24,ONE_TIME,COMPLETED,1730146550000.0,23245.0,19167.0,5486.0,46.0,11.0,2407.0,1.0,346.5
