tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types,is_insider
bo_c9unday8ku,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1721232573000,False,False,r_682f1739,8445,C'e La Luna Salon,https://maps.google.com/?cid=11127449043281244217,,False
bo_xgmsy2xz3d,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1721230923000,False,False,r_682f1739,10838,C'e La Luna Salon,https://maps.google.com/?cid=11127449043281244217,,False
bo_4enwv5kehb,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1721206923000,True,True,r_6fq2a4rr92,7436,Mirror Mirror Salon and Bowen Therapy,https://maps.google.com/?cid=4588534080861037905,Spa or Beauty Store,False
bo_yvk9hgbr94,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1721119984000,True,True,r_ts2kztcwta,21573,Mundo Brasileiro,http://www.mundobrasileiro.de,General or Mercantile Store,True
bo_w2ntnazam8,NEW_ORDER,PROCESSING,FULFILLED,MARKETPLACE,1721107684000,False,False,r_ay5457hwty,40160,RocknHair Etc,http://rocknhair.com/,Spa or Beauty Store,False
bo_45dxvaxsze,NEW_ORDER,PROCESSING,FULFILLED,MARKETPLACE,1721057369000,False,False,r_bzi68b1i,49016,Beauty Organix,http://www.beautyorganix.com,,True
bo_mk3xh2hj6h,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1721000069000,False,False,r_6q3alr8uj6,14178,abl hair,http://Www.ablhair.com,Spa or Beauty Store,False
bo_4g6wgdpcb7,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1720876169000,False,False,r_e33vcn7d4b,14170,ashley hughes,http://ashleyhughes.glossgenius.com/,Spa or Beauty Store,False
bo_fhxpdd7ndy,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1720828169000,True,True,r_9cnw4ucnmk,12559,Live Oak Refillery Station Project,,Spa or Beauty Store,True
bo_bpyvg5c4zf,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1720820069000,False,False,r_d3qczrv8dw,24238,Three Chicks Mercantile,,Home Decor Store,False
bo_3ppcgvzw2f,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1720740126000,True,True,r_9eqcrwh82p,21686,Hair by Laura Collins,http://www.hairbylauracollins.com/,Spa or Beauty Store,False
bo_9q2ms9hz8r,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1720734126000,False,False,r_b9399qdtd5,10859,Bigfork Drug,http://bigforkdrug.com/,,False
bo_t4jdvk7cpw,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1720705488000,False,False,r_4nza3nbec0,11496,Viva hair studio,,Spa or Beauty Store,True
bo_d4kk3rhwmq,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1720700088000,False,False,r_8z3vezmvv5,35285,Everyday Magick Salon,http://www.everydaymagicksalon.com/,Spa or Beauty Store,True
bo_4n5p698yt7,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1720644888000,False,False,r_gzft4exekk,28430,Aqua Blue Salon & Studios,https://aquasalonstudio.com/,Spa or Beauty Store,True
bo_64zdmmqum5,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1720635588000,False,False,r_ej9qsma7th,36620,Beauty Kiss Inc.,http://beautykissus.com/,,False
bo_4dxm5h5bub,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1720625388000,False,False,r_934yxcrr7q,13040,Smile Sciences,https://smilesciences.com/,,False
bo_uttcr9ur8h,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1720623435000,False,False,r_934yxcrr7q,10950,Smile Sciences,https://smilesciences.com/,,False
bo_tfv79t5q25,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1720583118000,True,True,r_zhhrrznbhv,38954,Cypris Wellness Spa,,Spa or Beauty Store,False
bo_frcee3vyrq,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1720555818000,False,False,r_k7zf9tcst3,12806,"Hairitage Family Salon (Low Tox, Organic, Clean, Cruelty Free + Vegan)",http://hairitagefamilysalon.com/,Spa or Beauty Store,False
bo_wp3zv6g4a8,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1720554318000,True,True,r_whhr54x246,9116,Roo's Doos,,Spa or Beauty Store,False
bo_f9eytq4q9h,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1720477714000,False,False,r_3bczzvdqaa,28077,Brands4les LLC,http://www.brands4les.com/,Clothing Boutique,True
bo_mk7tjmkmm5,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1720239515000,True,True,r_u56qgs25b9,19961,Enlightened Skincare,https://enlightened-skincare.square.site/,Spa or Beauty Store,True
bo_m4kpeh72kc,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1720031443000,False,False,r_4p6l0w9hxm,11205,The Read Queen Bookstore and Cafe,https://thereadqueen.com/,,False
bo_quv6f3bwyb,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1719950296000,False,False,r_vk5h2rxf2v,10577,Olive and Ru LLC,"https://maps.google.com/?q=940+144th+Ave,+Wayland,+MI+49348,+USA&ftid=0x8819cb03d70fc1bf:0x4844d7645020f2f4",Spa or Beauty Store,True
bo_fzc6bawa22,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1719864043000,False,False,r_e5yu98ws7d,11732,HAIR BY HALLEE at W Salon Suites Rocklin,http://www.wsalonsuites.com/,Spa or Beauty Store,False
bo_qr6sfwhehy,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719762859000,True,True,r_fn6yw3z3py,15841,Carlsborg Store,http://carlsborgstore.com/,,True
bo_s4vk3b4utx,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1719718159000,False,False,r_ynf64v78v7,22885,DeJardin Health and Beauty,http://dejardinhealthandbeauty.com/,Spa or Beauty Store,False
bo_ngcz2h3sg3,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1719670159000,False,False,r_qs5kpf7d5n,11137,Great hair day by Gladis,https://instagram.com/greathairdaybygladis?igshid=OGQ5ZDc2ODk2ZA%3D%3D&utm_source=qr,Spa or Beauty Store,True
bo_hre25hsr5c,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719630259000,True,True,r_ay2aexqxfe,9542,BOO~Tique Metaphysical Shop,http://mcdonoughghosttours.com/,,False
