product_token,name,category,sales_count,order_count,visit_count,date
p_266r867kct,LIMITED Bai Chai Shampoo Bar,Bar Soap,0,0,0,2023-01-01 00:00:00
p_2b6zsxpvbt,CONDITIONER Signature Line 3 Bars Inner Pack,,0,0,0,2023-01-01 00:00:00
p_39fma7x27g,LIMITED Lavender Purple Conditioner Bar,Bar Soap,0,0,0,2023-01-01 00:00:00
p_3djeug87dx,*Gift* The Experience Bundle,Bath & Body Sets,0,0,0,2023-01-01 00:00:00
p_4c659aysam,LIMITED Heirloom Tea Conditioner Bar,,0,0,0,2023-01-01 00:00:00
p_4yc8uunkwg,Conditioner Hair Bar Citrus Yao™ Citrus Scented 22.00% Off Auto renew,Hair Conditioner,0,0,0,2023-01-01 00:00:00
p_69zavzhad8,Hair Bars Only Bundle Terrace Garden™ Floral Scented,Bar Soap,0,0,0,2023-01-01 00:00:00
p_6w6q6zwdt7,LIMITED Yezi Nectar Conditioner Bar,Hair Conditioner,0,0,0,2023-01-01 00:00:00
p_7st2tb6u5d,FREE Serenity Body Wash Bar,Bar Soap,0,0,0,2023-01-01 00:00:00
p_9m8f3cngfx,Body Wash Soap Bar Native Essence™ Unscented 20.00% Off Auto renew,Bar Soap,0,0,0,2023-01-01 00:00:00
p_b4rzfh3g23,Peach Hibiscus Holiday Special Bundle,Bath & Body Sets,0,0,0,2023-01-01 00:00:00
p_c7faq5deaa,Hair Bars With Bamboo Bundle Terrace Garden™ Floral Scented,Bar Soap,0,0,0,2023-01-01 00:00:00
p_d4ygcx2w6b,LIMITED Hair Bars Only Bundle Heirloom Tea,Bar Soap,0,0,0,2023-01-01 00:00:00
p_ejwc6ahgej,Citrus Yao Conditioner Bar 22.00% Off Auto renew,Bar Soap,0,0,0,2023-01-01 00:00:00
p_ek9z37nb9s,LIMITED Bai Chai Conditioner Bar,Bar Soap,0,0,0,2023-01-01 00:00:00
p_f5nf8y8wbv,FREE Bamboo Bar Holder,Drinking Glasses & Cups,0,0,0,2023-01-01 00:00:00
p_g59w5e52v6,Hair Bars With Bamboo Bundle Native Essence™ Unscented,Solid Shampoo,0,0,0,2023-01-01 00:00:00
p_gyt4gdtwn3,LIMITED Lavender Purple Shampoo Bar,Bar Soap,0,0,0,2023-01-01 00:00:00
p_jy4h6ta6n8,Mini Shampoo & Conditioner Set,Solid Shampoo,0,0,0,2023-01-01 00:00:00
p_k4yhruy37t,Hair Bars With Bamboo Bundle Citrus Yao™ Citrus Scented,Solid Shampoo,0,0,0,2023-01-01 00:00:00
p_k7vzeavcxz,Pawson Pet Shampoo,Pet Shampoo & Conditioner,0,0,0,2023-01-01 00:00:00
p_kaxzsst36a,LIMITED Heirloom Tea Shampoo Bar,Bar Soap,0,0,0,2023-01-01 00:00:00
p_ks8p9bahqn,Hamish Duo Bundle | Shampoo + Conditioner Set,Bar Soap,0,0,0,2023-01-01 00:00:00
p_m9rejhaw6w,LIMITED ShanLu Conditioner Bar,Hair Conditioner,0,0,0,2023-01-01 00:00:00
p_mtfsc2h7t3,*Gift* The Ritual Bundle,Bath & Body Sets,0,0,0,2023-01-01 00:00:00
p_n3979pf6a3,Body Wash Soap Bar Native Essence™ Unscented 20.00% Off Auto renew,Bar Soap,0,0,0,2023-01-01 00:00:00
p_p2ncvmx9mx,Magnolia & Peony Dry Shampoo,Dry Shampoo,0,0,0,2023-01-01 00:00:00
p_pg2rxu9j49,LIMITED Heirloom Tea Shampoo Bar,Loose Tea,0,0,0,2023-01-01 00:00:00
p_pu6ymrcnwt,Pawson Pet Conditioner,,0,0,0,2023-01-01 00:00:00
p_qxvfdhwjgt,Body Wash Soap Bar Serenity™ Natural Aloe Scent 20.00% Off Auto renew,Bar Soap,0,0,0,2023-01-01 00:00:00
