id,name,brand_owner
b_94de8w6es5,Tenzo Tea,Tenzo Tea
b_doloeypc,Blume,Tenzo Tea
b_8pbavjqbfx,Matcha & CO,Tenzo Tea
b_4fvfm8f5,Dona,Tenzo Tea
b_2wiwcytj,The Tea Spot,Tenzo Tea
b_arceup81f2,Latico Leathers,Latico Leathers
b_6dyd8buw9c,Sarta,Latico Leathers
b_40j19ly1ct,Roma Leathers (Top Shop),Latico Leathers
b_b2pjelg0sv,Sixtease Bags USA,Latico Leathers
b_aikxxfpecb,Threaded Pair,Latico Leathers
b_5p6w2ool5f,Rodeo Clothing,The Perfect Jeans
b_5griw4hq33,Silver Jeans US,The Perfect Jeans
b_brfzs4w3ez,Robink,The Perfect Jeans
b_2nmog1xb0b,Victorious,The Perfect Jeans
b_69w32x0icr,OppoSuits - US,Free Planet
b_81e6e6d4,Pycnic,Free Planet
b_6cl4ivc61a,WEIV,Free Planet
b_4jdgbn6u25,Crazy Dog T-Shirts,Free Planet,
b_bdz7u5jj94,Caravan,Caravan
b_cad0ccd3,Couleur Nature,Couleur Nature
