id,name,brand_owner
b_94de8w6es5,Tenzo Tea,Tenzo Tea
b_doloeypc,Blume,Tenzo Tea
b_8pbavjqbfx,Matcha & CO,Tenzo Tea
b_4fvfm8f5,Dona,Tenzo Tea
b_2wiwcytj,The Tea Spot,Tenzo Tea
b_arceup81f2,Latico Leathers,Latico Leathers
b_6dyd8buw9c,Sarta,Latico Leathers
b_40j19ly1ct,Roma Leathers (Top Shop),Latico Leathers
b_b2pjelg0sv,Sixtease Bags USA,Latico Leathers
b_aikxxfpecb,Threaded Pair,Latico Leathers
b_5p6w2ool5f,Rodeo Clothing,The Perfect Jeans
b_5griw4hq33,Silver Jeans US,The Perfect Jeans
b_brfzs4w3ez,Robink,The Perfect Jeans
b_2nmog1xb0b,Victorious,The Perfect Jeans
b_69w32x0icr,OppoSuits - US,Free Planet
b_81e6e6d4,Pycnic,Free Planet
b_6cl4ivc61a,WEIV,Free Planet
b_4jdgbn6u25,Crazy Dog T-Shirts,Free Planet
b_bdz7u5jj94,Caravan,Caravan
b_b12aqo2q,Fennco Styles,Caravan
b_8hc1qdybhf,Driftless Studios,Caravan
b_ejbox127,Dot and Army,Caravan
b_j8xymj7l2e,Cheeks Ahoy,Caravan
b_ebay87gv,Indigo Tangerine,Bon Artis
b_5fe9uukyn9,Paper Farm Press,Bon Artis
b_b2060082,Design Imports,Bon Artis
b_cmvrf26fxf,Bon Artis,Bon Artis
b_8hc1qdybhf,Driftless Studios,Bon Artis
b_4rtez74ckw,Good Earth Soap,Lothantique
b_533s99c4,Atelier 880,Lothantique
b_5qsnasfp,Murchison-Hume,Lothantique
b_cw5lqh1hd4,Simplified Soap,Lothantique
b_67e3bc3f,Lothantique,Lothantique
b_c5ad8a80,Boredwalk,Boredwalk
b_qb9nf3tezt,Willow Poppy,Boredwalk
b_3crpryubzj,Hart and Hollow,Boredwalk
b_wx2bk85h4v,DUCK Creations,Boredwalk
b_2oyrbkfrqj,One24 Rags,Boredwalk
b_qwumeaqd8e,Properly Improper,Born To Rally
b_fwtetgjszj,Kindness is Magic,Born To Rally
b_cllfpw8grf,Tiny Gift Society,Born To Rally
