title,sort_key,brand_token,brand_name,min_option_retail_price,order,execution_date,execution_timestamp,search_query
Ellie Crossbody Bag *AS SEEN IN ANTHROPOLOGIE*,Crossbody Bags:2024-06-24T01:58:06.659697:1,b_djojumta,Pretty Simple,"{'amount_cents': 6000, 'currency': 'USD'}",1,2024-06-24,2024-06-24T01:58:06.659697,Crossbody Bags
RESTOCKED! Westlyn Woven Bum Bag,Crossbody Bags:2024-06-24T01:58:06.659697:2,b_djojumta,Pretty Simple,"{'amount_cents': 6250, 'currency': 'USD'}",2,2024-06-24,2024-06-24T01:58:06.659697,Crossbody Bags
LQF052 Boho Guitar Strap Crossbody Bag,Crossbody Bags:2024-06-24T01:58:06.659697:3,b_f2s9m5j5tr,MiMi Wholesale,"{'amount_cents': 2987, 'currency': 'USD'}",3,2024-06-24,2024-06-24T01:58:06.659697,Crossbody Bags
Bridget Sling Crossbody Fanny Mini Belt Bag,Crossbody Bags:2024-06-24T01:58:06.659697:4,b_ehwbo8z12s,modern+chic,"{'amount_cents': 4500, 'currency': 'USD'}",4,2024-06-24,2024-06-24T01:58:06.659697,Crossbody Bags
"Small Leather Satchel, Vintage Brown Crossbody Sling Bag",Crossbody Bags:2024-06-24T01:58:06.659697:5,b_rurnb8h2r7,DS Leather Studio,"{'amount_cents': 3950, 'currency': 'USD'}",5,2024-06-24,2024-06-24T01:58:06.659697,Crossbody Bags
Wrangler Aztec Print Crossbody  Chest Bag -,Crossbody Bags:2024-06-24T01:58:06.659697:6,b_adwkg7449y,South End Clothing and Apparel L.L.C,"{'amount_cents': 4998, 'currency': 'USD'}",6,2024-06-24,2024-06-24T01:58:06.659697,Crossbody Bags
Tilly Crossbody Bag,Crossbody Bags:2024-06-24T01:58:06.659697:7,b_djojumta,Pretty Simple,"{'amount_cents': 4500, 'currency': 'USD'}",7,2024-06-24,2024-06-24T01:58:06.659697,Crossbody Bags
Natural Color Crossbody Belt Bag,Crossbody Bags:2024-06-24T01:58:06.659697:8,b_bya786doke,Love and Repeat,"{'amount_cents': 700, 'currency': 'USD'}",8,2024-06-24,2024-06-24T01:58:06.659697,Crossbody Bags
Willow Camera Crossbody Bag,Crossbody Bags:2024-06-24T01:58:06.659697:9,b_djojumta,Pretty Simple,"{'amount_cents': 6000, 'currency': 'USD'}",9,2024-06-24,2024-06-24T01:58:06.659697,Crossbody Bags
Brown Cowhide Crossbody Bag,Crossbody Bags:2024-06-24T01:58:06.659697:10,b_uv76zkk977,The Front Porch Label,"{'amount_cents': 2499, 'currency': 'USD'}",10,2024-06-24,2024-06-24T01:58:06.659697,Crossbody Bags
Best Seller! Hailey Crossbody Sling Bag - Sand,Crossbody Bags:2024-06-24T01:58:06.659697:11,b_vqrfns5bqk,Jory,"{'amount_cents': 3600, 'currency': 'USD'}",11,2024-06-24,2024-06-24T01:58:06.659697,Crossbody Bags
7013 Monogrammable Three Compartments Crossbody Bag,Crossbody Bags:2024-06-24T01:58:06.659697:12,b_f2s9m5j5tr,MiMi Wholesale,"{'amount_cents': 2487, 'currency': 'USD'}",12,2024-06-24,2024-06-24T01:58:06.659697,Crossbody Bags
"Straw crossbody bag, Made in Italy, art. 112471",Crossbody Bags:2024-06-24T01:58:06.659697:13,b_kc42nc593p,Suie Valentini srl,"{'amount_cents': 4492, 'currency': 'USD', 'original_amount_cents': 4200, 'original_currency': 'EUR'}",13,2024-06-24,2024-06-24T01:58:06.659697,Crossbody Bags
Wrangler Leopard Tote Crossbody Bag,Crossbody Bags:2024-06-24T01:58:06.659697:14,b_kuw6edghr8,Zippity Do Dah,"{'amount_cents': 7700, 'currency': 'USD'}",14,2024-06-24,2024-06-24T01:58:06.659697,Crossbody Bags
Ava Simpler Times Crossbody Bag,Crossbody Bags:2024-06-24T01:58:06.659697:15,b_b67zvglh1u,Like Dreams,"{'amount_cents': 3300, 'currency': 'USD'}",15,2024-06-24,2024-06-24T01:58:06.659697,Crossbody Bags
Willow Crossbody Belt Fanny Waist Sling Purse Bag,Crossbody Bags:2024-06-24T01:58:06.659697:16,b_ehwbo8z12s,modern+chic,"{'amount_cents': 4900, 'currency': 'USD'}",16,2024-06-24,2024-06-24T01:58:06.659697,Crossbody Bags
Solid Color PU Crossbody Bag For Women's Small Bag,Crossbody Bags:2024-06-24T01:58:06.659697:17,b_jkhzdth9kx,Wholesalesir,"{'amount_cents': 2300, 'currency': 'USD'}",17,2024-06-24,2024-06-24T01:58:06.659697,Crossbody Bags
Leopard Print Crossbody Bag,Crossbody Bags:2024-06-24T01:58:06.659697:18,b_bya786doke,Love and Repeat,"{'amount_cents': 1190, 'currency': 'USD'}",18,2024-06-24,2024-06-24T01:58:06.659697,Crossbody Bags
RM004 cowhide leather crossbody with phone pocket,Crossbody Bags:2024-06-24T01:58:06.659697:19,b_40j19ly1ct,Roma Leathers,"{'amount_cents': 1530, 'currency': 'USD'}",19,2024-06-24,2024-06-24T01:58:06.659697,Crossbody Bags
Woven Willow Camera Crossbody Bag,Crossbody Bags:2024-06-24T01:58:06.659697:20,b_djojumta,Pretty Simple,"{'amount_cents': 6000, 'currency': 'USD'}",20,2024-06-24,2024-06-24T01:58:06.659697,Crossbody Bags
Rebeca Crossbody Sling Bag - Caramel,Crossbody Bags:2024-06-24T01:58:06.659697:21,b_vqrfns5bqk,Jory,"{'amount_cents': 3600, 'currency': 'USD'}",21,2024-06-24,2024-06-24T01:58:06.659697,Crossbody Bags
Black Brand Crossbody Bag,Crossbody Bags:2024-06-24T01:58:06.659697:22,b_uv76zkk977,The Front Porch Label,"{'amount_cents': 2499, 'currency': 'USD'}",22,2024-06-24,2024-06-24T01:58:06.659697,Crossbody Bags
Soft Vegan Leather Crossbody Bag,Crossbody Bags:2024-06-24T01:58:06.659697:23,b_wgpnggfaw2,JILLIAN INK LLC,"{'amount_cents': 4500, 'currency': 'USD'}",23,2024-06-24,2024-06-24T01:58:06.659697,Crossbody Bags
Block Print Sling Crossbody Bag,Crossbody Bags:2024-06-24T01:58:06.659697:24,b_4f1f7699,Anchal,"{'amount_cents': 6200, 'currency': 'USD'}",24,2024-06-24,2024-06-24T01:58:06.659697,Crossbody Bags
