title,sort_key,brand_token,brand_name,min_option_retail_price,order,execution_date,execution_timestamp,search_query
Ellie Crossbody Bag *AS SEEN IN ANTHROPOLOGIE*,Crossbody Bags:2024-06-25T13:18:15.824660:1,b_djojumta,Pretty Simple,"{'amount_cents': 6000, 'currency': 'USD'}",1,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
LQF052 Boho Guitar Strap Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:2,b_f2s9m5j5tr,MiMi Wholesale,"{'amount_cents': 2987, 'currency': 'USD'}",2,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
"Small Leather Satchel, Vintage Brown Crossbody Sling Bag",Crossbody Bags:2024-06-25T13:18:15.824660:3,b_rurnb8h2r7,DS Leather Studio,"{'amount_cents': 3950, 'currency': 'USD'}",3,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Tilly Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:4,b_djojumta,Pretty Simple,"{'amount_cents': 4500, 'currency': 'USD'}",4,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Brown Cowhide Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:5,b_uv76zkk977,The Front Porch Label,"{'amount_cents': 2499, 'currency': 'USD'}",5,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Willow Camera Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:6,b_djojumta,Pretty Simple,"{'amount_cents': 6000, 'currency': 'USD'}",6,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
7013 Monogrammable Three Compartments Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:7,b_f2s9m5j5tr,MiMi Wholesale,"{'amount_cents': 2487, 'currency': 'USD'}",7,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Block Print Sling Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:8,b_4f1f7699,Anchal,"{'amount_cents': 6200, 'currency': 'USD'}",8,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Soft Vegan Leather Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:9,b_wgpnggfaw2,JILLIAN INK LLC,"{'amount_cents': 4500, 'currency': 'USD'}",9,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Quilted Durable Clear PVC Crossbody Messenger Bag,Crossbody Bags:2024-06-25T13:18:15.824660:10,b_1e67dn411w,Cap Zone,"{'amount_cents': 1700, 'currency': 'USD'}",10,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Woven Willow Camera Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:11,b_djojumta,Pretty Simple,"{'amount_cents': 6000, 'currency': 'USD'}",11,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Vintage Red Typewriter Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:12,b_4r3j4e8q,COMECO INC,"{'amount_cents': 3000, 'currency': 'USD'}",12,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Holly Foldover Satchel Crossbody Belt Bag,Crossbody Bags:2024-06-25T13:18:15.824660:13,b_ehwbo8z12s,modern+chic,"{'amount_cents': 4800, 'currency': 'USD'}",13,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Natural Color Crossbody Belt Bag,Crossbody Bags:2024-06-25T13:18:15.824660:14,b_bya786doke,Love and Repeat,"{'amount_cents': 700, 'currency': 'USD'}",14,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
LQF038Z Fashion Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:15,b_f2s9m5j5tr,MiMi Wholesale,"{'amount_cents': 3237, 'currency': 'USD'}",15,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Wrangler Sling Bag/Crossbody/Chest Bag,Crossbody Bags:2024-06-25T13:18:15.824660:16,b_adwkg7449y,South End Clothing and Apparel L.L.C,"{'amount_cents': 4998, 'currency': 'USD'}",16,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Navajo Baja Tribal Triple Zip Clutch Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:17,b_1e67dn411w,Cap Zone,"{'amount_cents': 398, 'currency': 'USD'}",17,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Waist Bag And Crossbody Bag For Women,Crossbody Bags:2024-06-25T13:18:15.824660:18,b_jkhzdth9kx,Wholesalesir,"{'amount_cents': 3190, 'currency': 'USD'}",18,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Rebeca Crossbody Sling Bag - Caramel,Crossbody Bags:2024-06-25T13:18:15.824660:19,b_vqrfns5bqk,Jory,"{'amount_cents': 3600, 'currency': 'USD'}",19,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Pink Cowhide Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:20,b_uv76zkk977,The Front Porch Label,"{'amount_cents': 2499, 'currency': 'USD'}",20,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Wrangler Aztec Print Crossbody Sling Chest Bag - Pink,Crossbody Bags:2024-06-25T13:18:15.824660:21,b_adwkg7449y,South End Clothing and Apparel L.L.C,"{'amount_cents': 4100, 'currency': 'USD'}",21,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Gypsy Crossbody Bag #6,Crossbody Bags:2024-06-25T13:18:15.824660:22,b_46yqo0x0y0,El Paso Saddleblanket,"{'amount_cents': 1900, 'currency': 'USD'}",22,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Waterproof Zipped Crossbody Chest Bag 20*5*14cm,Crossbody Bags:2024-06-25T13:18:15.824660:23,b_t9mynp4xpd,Lovesoft,"{'amount_cents': 1664, 'currency': 'USD'}",23,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
...SI-26466 Corduroy Vintage crossbody Sling Bag,Crossbody Bags:2024-06-25T13:18:15.824660:24,b_849n5pbfjm,42POPS,"{'amount_cents': 2175, 'currency': 'USD'}",24,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
P24060 Woven Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:25,b_a9e29d0b,Pretty Persuasions,"{'amount_cents': 4625, 'currency': 'USD'}",25,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Sutton Crossbody Sling Bag,Crossbody Bags:2024-06-25T13:18:15.824660:26,b_djojumta,Pretty Simple,"{'amount_cents': 6000, 'currency': 'USD'}",26,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Lilac Crossbody Bag - Unisex,Crossbody Bags:2024-06-25T13:18:15.824660:27,b_b2pjelg0sv,Sixtease Bags USA,"{'amount_cents': 3300, 'currency': 'USD'}",27,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Solid Color Outlined Clear Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:28,b_gy33y47y5m,Fashion City,"{'amount_cents': 4170, 'currency': 'USD'}",28,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Kids Unicorn Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:29,b_bya786doke,Love and Repeat,"{'amount_cents': 700, 'currency': 'USD'}",29,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Moroccan Leather Crossbody Bag | Leather Purse,Crossbody Bags:2024-06-25T13:18:15.824660:30,b_x63mr72b4e,HandmadeBestSeller,"{'amount_cents': 4573, 'currency': 'USD', 'original_amount_cents': 3610, 'original_currency': 'GBP'}",30,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Crossbody Sling Bag,Crossbody Bags:2024-06-25T13:18:15.824660:31,b_a48i0fg8,Selini New York,"{'amount_cents': 1190, 'currency': 'USD'}",31,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Small Tribal Peruvian Leather Material Crossbody Purse Bag,Crossbody Bags:2024-06-25T13:18:15.824660:32,b_ei18vd8t67,Pichincha,"{'amount_cents': 1499, 'currency': 'USD'}",32,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
88603: Crossbody Mini Brick Bag | Corduroy Camel,Crossbody Bags:2024-06-25T13:18:15.824660:33,b_5iterkpv8k,Fydelity,"{'amount_cents': 2000, 'currency': 'USD'}",33,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
A7807-Crossbody/Grab bag with pocket on the front and buckle,Crossbody Bags:2024-06-25T13:18:15.824660:34,b_bptbp63ght,Papaya Fashion Ltd,"{'amount_cents': 3800, 'currency': 'USD', 'original_amount_cents': 3000, 'original_currency': 'GBP'}",34,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Stadium Clear Rectangle Crossbody Bags ,Crossbody Bags:2024-06-25T13:18:15.824660:35,b_umczc7bspa,Queens Designs,"{'amount_cents': 3200, 'currency': 'USD'}",35,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
""",,.._ PUFF QUILTED CROSSBODY SHOULDER BAG",Crossbody Bags:2024-06-25T13:18:15.824660:36,b_849n5pbfjm,42POPS,"{'amount_cents': 4560, 'currency': 'USD'}",36,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Contrast Color Bags Crossbody Bags Handbags,Crossbody Bags:2024-06-25T13:18:15.824660:37,b_dxhtkv5y9m,Easel,"{'amount_cents': 3959, 'currency': 'USD'}",37,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
TG10575 Carly Clear Mini Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:38,b_f2s9m5j5tr,MiMi Wholesale,"{'amount_cents': 3125, 'currency': 'USD'}",38,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Rebeca Crossbody Sling Bag - Cloud,Crossbody Bags:2024-06-25T13:18:15.824660:39,b_vqrfns5bqk,Jory,"{'amount_cents': 3600, 'currency': 'USD'}",39,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Petite Clear Soft PVC Zippered Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:40,b_1e67dn411w,Cap Zone,"{'amount_cents': 150, 'currency': 'USD'}",40,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Black - Moon with Stars Lacer cut crossbody cellphone bags,Crossbody Bags:2024-06-25T13:18:15.824660:41,b_25m1090zlh,Shine Mark Accessories,"{'amount_cents': 2500, 'currency': 'USD'}",41,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
ANNA Opal Shape Hard Case Crossbody Bag with Top Handle,Crossbody Bags:2024-06-25T13:18:15.824660:42,b_dmin8matyq,KAYLA+AVA,"{'amount_cents': 3000, 'currency': 'USD'}",42,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Stadium Clear Oval Crossbody Bags,Crossbody Bags:2024-06-25T13:18:15.824660:43,b_umczc7bspa,Queens Designs,"{'amount_cents': 3000, 'currency': 'USD'}",43,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Aztec Strap PVC Clear Crossbody Bag MOQ 3pcs ZK1667,Crossbody Bags:2024-06-25T13:18:15.824660:44,b_9qqlp5kqt7,UNISHE,"{'amount_cents': 1798, 'currency': 'USD'}",44,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Chains Geometric Zipper Bags Crossbody Bags Handbags,Crossbody Bags:2024-06-25T13:18:15.824660:45,b_ajabndfqgz,Chicurb Wholesale,"{'amount_cents': 2599, 'currency': 'USD'}",45,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
Faux Leather Plaid Crossbody Bag,Crossbody Bags:2024-06-25T13:18:15.824660:46,b_anvdg5erjq,3AM BY H&D ACCESSORIES,"{'amount_cents': 3400, 'currency': 'USD'}",46,2024-06-25,2024-06-25T13:18:15.824660,Crossbody Bags
