search_query,number_products_remain_ranking,number_products_better_ranking,number_products_worse_ranking,number_products_same_ranking,number_products_better_median,number_products_worse_median
Crossbody Bags,9,3,6,0,-16.0,35.0
Tote Bag,16,6,10,0,-11.5,33.0
Wallets,15,4,10,1,-35.0,35.0
Shoulder Bags,11,4,7,0,-18.5,41.0
Backpack,24,8,16,0,-21.5,31.5
Crossbody Bags,10,6,4,0,-43.0,20.5
Tote Bag,16,12,4,0,-30.5,24.0
Wallets,14,9,4,1,-37.0,22.5
Shoulder Bags,11,8,3,0,-39.5,29.0
Backpack,24,16,7,1,-35.0,32.0
Crossbody Bags,95,42,41,12,-3.0,3.0
Tote Bag,82,24,50,8,-4.5,5.0
Wallets,81,18,58,5,-2.0,3.5
Shoulder Bags,89,27,53,9,-3.0,4.0
Backpack,87,34,41,12,-3.5,4.0
Crossbody Bags,77,42,34,1,-14.0,11.0
Tote Bag,67,35,31,1,-16.0,18.0
Wallets,81,45,35,1,-14.0,14.0
Shoulder Bags,69,36,32,1,-15.5,11.0
Backpack,72,32,38,2,-15.5,13.5
Crossbody Bags,90,39,43,8,-6.0,5.0
Tote Bag,86,49,31,6,-6.0,7.0
Wallets,87,26,51,10,-3.0,4.0
Shoulder Bags,92,43,32,17,-5.0,3.0
Backpack,88,46,35,7,-6.0,4.0
