Order Date,Order Number,Product Name,Option Name,SKU,Status,Quantity,Wholesale Price,Retail Price,Ship Date,Scheduled Order Date
"January 23, 2024",SCAE7YHMN2,Margie Leather Tote - Select Colors on Sale Now!,Black,2623BLK,New,1,$65,$175,No ship date,No scheduled order date
"January 23, 2024",SCAE7YHMN2,Margie Leather Tote - Select Colors on Sale Now!,Paprika,2623PAP,New,1,$49,$175,No ship date,No scheduled order date
"January 23, 2024",SCAE7YHMN2,Harbor Leather Crossbody,Cognac,3105COG,New,1,$65,$175,No ship date,No scheduled order date
"January 23, 2024",SCAE7YHMN2,Pippa Leather Crossbody,Cognac,3555COG,New,1,$65,$175,No ship date,No scheduled order date
"January 23, 2024",8JM4DZ6DQH,Leon Leather Tote,Cognac,3198COG,Processing,1,$79,$205,"January 26, 2024",No scheduled order date
"January 23, 2024",8JM4DZ6DQH,Pippa Leather Crossbody,Cognac,3555COG,Processing,1,$65,$175,"January 26, 2024",No scheduled order date
"January 23, 2024",8JM4DZ6DQH,Pippa Leather Crossbody,Denim,3555DNM,Processing,1,$65,$175,"January 26, 2024",No scheduled order date
"January 23, 2024",8JM4DZ6DQH,Pippa Leather Crossbody,Sky Blue,3555SBLU,Processing,1,$65,$175,"January 26, 2024",No scheduled order date
"January 23, 2024",8JM4DZ6DQH,Mick Leather Crossbody,Cognac,5127COG,Processing,1,$59,$160,"January 26, 2024",No scheduled order date
"January 23, 2024",8JM4DZ6DQH,Mick Leather Crossbody,Denim,5127DNM,Processing,1,$59,$160,"January 26, 2024",No scheduled order date
"January 23, 2024",8JM4DZ6DQH,Bianca Leather Tote/Crossbody,Cognac,5128COG,Processing,1,$89,$230,"January 26, 2024",No scheduled order date
"January 22, 2024",9GPS98TESR,Archer Wide Leather Embroidered Shoulder Strap,Cognac,0008COG,Processing,2,$29,$79,"January 25, 2024",No scheduled order date
"January 22, 2024",9GPS98TESR,Bowie Wide Leather Embroidered Shoulder Strap,Oat,0009OAT,Processing,2,$29,$79,"January 25, 2024",No scheduled order date
"January 22, 2024",9GPS98TESR,Marge Leather Crossbody,Black,2900BLK,Processing,1,$47,$132.50,"January 25, 2024",No scheduled order date
"January 22, 2024",9GPS98TESR,Eloise Leather Wallet,Cobra,4655COB,Processing,2,$22,$62.50,"January 25, 2024",No scheduled order date
"January 22, 2024",9GPS98TESR,Noah Leather Crossbody,default,6111PYT,Processing,1,$49,$132.50,"January 25, 2024",No scheduled order date
"January 22, 2024",9GPS98TESR,Gemma Leather Tote,Berry,7626BRY,Processing,1,$79,$205,"January 25, 2024",No scheduled order date
"January 22, 2024",9GPS98TESR,Gemma Leather Tote,Sunflower,7626SUNF,Processing,1,$79,$205,"January 25, 2024",No scheduled order date
